price,rooms,area,floor,total_floor,district,"address",ZHK,type,year
11000000,1,27,2,13,Алмалы,Варламова 1/3,Varlamova,монолитный,2019
16500000,1,40,1,11,Ауэзов,"мкр. №6 36 б, Саина",,монолитный,2019
26300000,1,"46,6",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
44000000,3,86,5,5,Медеу,Тулебаева — Богенбай батыра,,кирпичный,1975
26000000,2,"51,4",4,5,Алмалы,проспект Назарбаева 57 — Макатаева,,кирпичный,1975
14300000,1,40,2,6,Жетысу,мкр. Кокжиек 27,,монолитный,2011
17000000,1,33,5,5,Алмалы,"Гагарина, 12 — Богенбай батыра",,панельный,1975
45500000,4,90,,,Ауэзов,"мкр. Аксай-5, 5 25",,монолитный,2019
97000000,3,"180,5",2,6,Медеу,Есенберлина 155,Парк Горького,монолитный,2010
26900000,4,74,4,4,Алмалы,Казыбек би — Исаева,,панельный,1970
50000000,3,105,11,15,Бостандык,"мкр. Баганашыл, Щепкина 35 — Рыскулбекова",Дуэт,монолитный,2010
16155000,1,"35,9",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
6800000,1,35,1,2,Медеу,"мкр. Алатау (ИЯФ) 11, Ерке Сылкым (Молодёжная)",,кирпичный,1961
22500000,3,62,5,5,Бостандык,Басенова 9в — Гагарина,,,1975
75000000,4,122,6,7,Медеу,Есенберлина 155,Парк Горького,монолитный,2010
30000000,3,"91,3",7,9,Жетысу,"мкр. Кулагер 11, Серикова",,монолитный,2005
13500000,1,"32,5",5,5,Ауэзов,мкр. Аксай-4 8,,,1988
15700000,1,38,7,10,Ауэзов,"мкр. Аксай-5, Б. Момышулы — Жубанова",Уш-Сункар,монолитный,2018
7000000,1,18,3,4,Ауэзов,"мкр. №5, 5 мкр. 23",,панельный,1966
32000000,3,70,2,5,Бостандык,Навои 310 — Биржана,,кирпичный,1983
11500000,1,"43,3",5,5,Турксиб,мкр. Жулдыз-2 8е,,монолитный,2010
16300000,2,45,3,4,Ауэзов,"мкр. №5, 5-й — проспект Улугбека",,панельный,1968
27800000,1,"49,8",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
57000000,3,117,2,20,Алмалы,Кожамкулова 273 — Муканова,Жастар Mag,монолитный,2008
37000000,2,90,7,16,Ауэзов,Жазылбека — Рыскулбекова,Каргалы,,2008
25000000,3,"59,5",4,5,Бостандык,Жарокова 205 — Габдулина,,кирпичный,1975
14000000,1,"28,4",2,12,Ауэзов,"мкр. Достык, Садвакасова 35",Alim,монолитный,2018
7300000,1,24,3,9,Ауэзов,"мкр. Аксай-1А 28а, Толе би",,монолитный,2010
57000000,3,108,1,10,Ауэзов,"мкр. Таугуль-2, Сулейменова 24а",Мирный,монолитный,2015
49500000,3,"81,7",4,14,Бостандык,Жарокова 137/1блокГ1 — Сатпаева,Арай,,2016
27000000,3,72,9,9,Ауэзов,мкр. Аксай-4 104,,панельный,1987
20600000,2,63,7,9,Наурызбай,"мкр. Шугыла, Микрорайон «Шугыла» 342",Шугыла,монолитный,2018
18000000,3,54,2,2,Бостандык,Сатпаева,,кирпичный,1954
24500000,3,"58,9",4,5,Бостандык,"мкр. Алмагуль 11, Ходжанова Султанбека",,панельный,1981
28000000,2,62,3,9,Бостандык,Розыбакиева 117 — Жандосова,,панельный,1995
33100000,2,"65,2",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
20880000,1,"46,4",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
17000000,2,43,3,5,Ауэзов,"мкр. №5, 5-й мкрАбая 25",,панельный,1966
24000000,3,62,2,5,Бостандык,"мкр. Орбита-4 29, Торайгырова",,панельный,1977
75000000,2,100,2,10,Бостандык,Гагарина 309,Комфорт,монолитный,2017
23000000,2,48,5,5,Алмалы,Гоголя 116 — Жумалиева,,кирпичный,1983
19000000,3,60,4,4,Ауэзов,"мкр. №6, 6 4 — Абая",,панельный,1967
40000000,3,89,14,16,Бостандык,Мусрепова 22 — Сатпаева,Central Esentai Residence,монолитный,2019
21500000,2,52,4,5,Бостандык,Розыбакиева 270 — Байкадамова,,панельный,1986
